# ----------------------------------------
# 1 Master View
# report
# 20200101-20230621
# ----------------------------------------

Дата,Пользователи,Новые пользователи,Сеансов на пользователя,Сред. длительность сеанса,Показатель отказов,Страниц/сеанс,Достигнутые цели,Доход
20230426,2 720,2 128,"1,10",00:02:56,"45,53 %","4,01",426,"4 298,00 $"
20220913,2 717,2 040,"1,10",00:03:27,"40,71 %","4,98",672,"21 028,18 $"
20210317,2 716,2 184,"1,09",00:03:11,"52,00 %","4,25",534,"3 761,51 $"
20201124,2 714,2 053,"1,13",00:04:09,"41,62 %","5,88",526,"206,55 $"
20210323,2 711,2 229,"1,11",00:02:43,"52,98 %","3,79",424,"3 277,90 $"
20221003,2 707,1 966,"1,10",00:03:23,"42,16 %","5,13",769,"6 645,26 $"
20221215,2 705,1 919,"1,11",00:03:35,"43,78 %","4,80",776,"11 856,85 $"
20220825,2 704,1 983,"1,12",00:03:42,"40,40 %","5,44",772,"12 099,70 $"
20220207,2 702,2 073,"1,12",00:03:03,"47,68 %","4,57",617,"5 436,22 $"
20220803,2 702,1 990,"1,11",00:03:31,"42,09 %","5,25",730,"10 409,03 $"
20220712,2 700,2 030,"1,11",00:03:24,"42,76 %","5,13",739,"6 456,20 $"
20220331,2 698,2 011,"1,12",00:03:40,"42,42 %","5,30",748,"13 920,56 $"
20210202,2 697,2 171,"1,11",00:02:46,"51,12 %","4,26",532,"277,98 $"
20210324,2 697,2 177,"1,10",00:03:09,"52,82 %","4,49",636,"13 709,46 $"
20210407,2 696,2 161,"1,10",00:02:58,"50,27 %","4,24",521,"4 415,28 $"
20220630,2 696,1 995,"1,12",00:03:32,"43,61 %","5,14",734,"7 521,04 $"
20220711,2 693,1 982,"1,11",00:03:05,"43,98 %","4,90",680,"6 925,84 $"
20220203,2 692,2 124,"1,11",00:03:03,"47,11 %","4,77",615,"4 749,16 $"
20210127,2 687,2 114,"1,11",00:02:52,"49,19 %","4,31",567,"437,55 $"
20211102,2 685,1 978,"1,11",00:03:38,"45,75 %","5,25",713,"16 404,10 $"
20211018,2 680,2 030,"1,11",00:03:56,"43,38 %","5,48",807,"8 729,61 $"
20221005,2 680,1 986,"1,12",00:03:40,"43,55 %","4,98",676,"6 907,00 $"
20220801,2 677,1 870,"1,14",00:03:50,"42,70 %","5,40",765,"14 015,51 $"
20220126,2 676,2 084,"1,09",00:03:12,"47,96 %","4,87",566,"5 730,76 $"
20220405,2 676,1 971,"1,13",00:03:31,"44,54 %","5,31",744,"8 340,13 $"
20220921,2 675,2 004,"1,10",00:03:10,"44,05 %","4,79",616,"7 832,58 $"
20201021,2 671,2 110,"1,10",00:02:55,"46,06 %","4,72",367,"368,40 $"
20220308,2 668,2 002,"1,13",00:03:32,"44,07 %","4,78",677,"9 670,22 $"
20221118,2 667,1 802,"1,14",00:03:40,"40,92 %","5,17",703,"9 990,30 $"
20200713,2 665,2 082,"1,14",00:02:54,"42,31 %","5,02",371,"221,50 $"
20220610,2 665,1 939,"1,16",00:03:56,"43,35 %","5,30",786,"12 171,68 $"
20210708,2 662,2 025,"1,09",00:03:53,"39,28 %","6,12",1 280,"8 266,09 $"
20201029,2 660,2 078,"1,12",00:03:05,"48,56 %","4,71",348,"218,55 $"
20220321,2 660,2 019,"1,13",00:03:37,"45,74 %","4,81",688,"7 829,20 $"
20210408,2 659,2 128,"1,11",00:02:55,"50,61 %","4,45",597,"5 933,28 $"
20211021,2 659,1 992,"1,12",00:03:37,"46,30 %","5,15",711,"8 771,69 $"
20220502,2 655,1 960,"1,14",00:03:20,"44,79 %","5,37",793,"18 310,86 $"
20220328,2 654,1 980,"1,13",00:03:13,"46,17 %","4,87",676,"7 425,68 $"
20210414,2 653,2 078,"1,11",00:03:05,"51,92 %","4,32",515,"3 157,26 $"
20210412,2 651,2 140,"1,11",00:02:40,"52,44 %","4,05",471,"3 579,70 $"
20221014,2 651,2 020,"1,11",00:03:31,"44,29 %","4,90",637,"8 177,58 $"
20210331,2 650,2 118,"1,11",00:03:00,"50,32 %","4,67",632,"5 087,38 $"
20201103,2 635,2 077,"1,11",00:03:02,"46,80 %","4,57",346,"455,00 $"
20210416,2 635,2 191,"1,08",00:02:50,"56,81 %","4,29",506,"5 668,98 $"
20220429,2 635,2 000,"1,11",00:03:20,"44,02 %","5,35",729,"13 666,44 $"
20220906,2 635,1 957,"1,11",00:03:08,"43,75 %","5,04",687,"11 483,76 $"
